0 1 1 0.07902
0 1 1 0.04624
0 1 2 0.05236
0 1 4 0.05408
0 1 6 0.0656426257050282
0 1 11 0.08426842684268426
0 1 18 0.1163125675189053
0 1 29 0.169953596287703
0 1 48 0.25552353506243997
0 1 78 0.38065522620904835
0 1 127 0.5903307888040712
0 1 206 0.9380165289256198
0 1 335 1.476510067114094
0 1 545 2.3846153846153846
0 1 885 3.875
0 1 1438 6.235294117647059
0 1 2335 10.142857142857142
0 1 3792 16.384615384615383
0 1 6158 26.625
0 1 10000 43.4
0 4 1 0.0468
0 4 1 0.04576
0 4 2 0.05772
0 4 4 0.0764
0 4 6 0.0968438737549502
0 4 11 0.14697469746974698
0 4 18 0.2185812027367663
0 4 29 0.3329466357308585
0 4 48 0.526416906820365
0 4 78 0.8268330733229329
0 4 127 1.3231552162849873
0 4 206 2.1115702479338845
0 4 335 3.442953020134228
0 4 545 5.483516483516484
0 4 885 8.964285714285714
0 4 1438 14.529411764705882
0 4 2335 23.38095238095238
0 4 3792 38.0
0 4 6158 61.625
0 4 10000 99.6
0 21 1 0.0862
0 21 1 0.0817
0 21 2 0.12376
0 21 4 0.21424
0 21 6 0.2938917556702268
0 21 11 0.5117711771177118
0 21 18 0.8203096867122794
0 21 29 1.3109048723897911
0 21 48 2.12776176753122
0 21 78 3.4009360374414976
0 21 127 5.493638676844784
0 21 206 8.950413223140496
0 21 335 14.429530201342281
0 21 545 23.35164835164835
0 21 885 38.05357142857143
0 21 1438 61.6764705882353
0 21 2335 99.95238095238095
0 21 3792 162.3846153846154
0 21 6158 262.875
0 21 10000 426.8
0 100 1 0.30198
0 100 1 0.2662
0 100 2 0.43772
0 100 4 0.84752
0 100 6 1.2899315972638905
0 100 11 2.2365236523652365
0 100 18 3.6683471371984155
0 100 29 5.962877030162413
0 100 48 9.588856868395773
0 100 78 15.648985959438377
0 100 127 25.989821882951652
0 100 206 42.607438016528924
0 100 335 66.81208053691275
0 100 545 110.26373626373626
0 100 885 182.19642857142858
0 100 1438 287.1764705882353
0 100 2335 478.95238095238096
0 100 3792 755.2307692307693
0 100 6158 1440.875
0 100 10000 2018.6
1 1 1 0.0421
1 1 1 0.04006
1 1 2 0.04384
1 1 4 0.05264
1 1 6 0.061802472098883954
1 1 11 0.08382838283828382
1 1 18 0.11595246669067338
1 1 29 0.16357308584686775
1 1 48 0.24495677233429394
1 1 78 0.37597503900156004
1 1 127 0.5979643765903307
1 1 206 0.9421487603305785
1 1 335 1.5100671140939597
